#time           flux       flux_err
  273.445253920    -4.45454     1.18351 
  273.465686697    -2.96723     1.18383 
  273.486119473    -1.02056     1.18413 
  273.506552149     1.33798     1.18439 
  273.526985025     0.11348     1.18404 
  273.547417800     2.88764     1.18511 
  273.567850475     5.61705     1.18496 
  273.588283350     6.44008     1.18503 
  273.608716125     6.38956     1.18507 
  273.629148900     5.56173     1.18513 
  273.649581574     6.21151     1.18515 
  273.670014449     9.20641     1.18532 
  273.690447223    10.66739     1.18541 
  273.731312770    13.13435     1.18609 
  273.751745543    13.89201     1.18617 
  273.772178216    12.07439     1.18603 
  273.792611089    12.48537     1.18594 
  273.813043762    14.34257     1.18633 
  273.833476535    16.42274     1.18636 
  273.853909307    15.80302     1.18639 
  273.874342079    18.52790     1.18699 
  273.894774851    15.60682     1.18648 
  273.915207622    17.84672     1.18707 
  273.935640394    17.55323     1.18673 
  273.956073165    18.24561     1.18690 
  273.976505936    19.49145     1.18731 
  273.996938607    21.61369     1.18729 
  274.017371477    24.97634     1.18787 
  274.037804248    22.89724     1.18765 
  274.058236918    25.27544     1.18841 
  274.078669788    21.48286     1.18735 
  274.099102558    24.57292     1.18788 
  274.119535227    24.25968     1.18771 
  274.160400866    24.15962     1.18772 
  274.180833534    24.78201     1.18792 
  274.201266303    24.43195     1.18790 
  274.221699172    24.33430     1.18779 
  274.242131940    25.08360     1.18786 
  274.262564608    24.76644     1.18799 
  274.282997476    24.62850     1.18788 
  274.303430243    24.34017     1.18792 
  274.323862911    29.53547     1.18852 
  274.344295678    26.58078     1.18814 
  274.364728545    26.51390     1.18827 
  274.385161212    25.48400     1.18815 
  274.405593978    24.68987     1.18790 
  274.446459511    26.46987     1.18811 
  274.466892276    26.82829     1.18822 
  274.487325042    24.58750     1.18800 
  274.507757908    24.04338     1.18807 
  274.528190573    25.15982     1.18800 
  274.548623338    26.49602     1.18930 
  274.569056203    25.26974     1.18818 
  274.589488868    24.25585     1.18786 
  274.609921632    23.67535     1.18789 
  274.630354496    22.55554     1.18768 
  274.650787160    21.76577     1.18760 
  274.671219924    20.88991     1.18755 
  274.691652688    21.15076     1.18773 
  274.732518214    19.55273     1.18736 
  274.752950977    18.43398     1.18714 
  274.773383740    18.17152     1.18703 
  274.793816502    19.18257     1.18705 
  274.814249265    17.89537     1.18705 
  274.834681927    18.15436     1.18707 
  274.855114789    15.46701     1.18665 
  274.875547451    16.86840     1.18677 
  274.895980212    13.79489     1.18639 
  274.916413073    12.91761     1.18631 
  274.936845735    11.20715     1.18602 
  274.957278495    11.77822     1.18607 
  274.977711256    11.20084     1.18586 
  275.018576777     9.83030     1.18586 
  275.039009537     8.47445     1.18572 
  275.059442397     3.53857     1.18504 
  275.079875056     4.87682     1.18528 
  275.100307816     3.63027     1.18517 
  275.120740675     2.46465     1.18483 
  275.141173334     2.52584     1.18489 
  275.161606093     0.24974     1.18447 
  275.182038751     2.10605     1.18496 
  275.202471610    -2.15826     1.18435 
  275.222904368    -3.53066     1.18414 
  275.243337126    -1.77707     1.18418 
  275.263769884    -3.79542     1.18404 
  275.284202641    -6.11359     1.18372 
  275.304635399    -6.95290     1.18369 
  275.325068056    -6.26701     1.18387 
