Count of kepoi_name,Column Labels,,,,,,
Row Labels,CANDIDATE,CONFIRMED,FALSE POSITIVE,Grand Total,,temp,fraction
3.921,,,3,3,,3.921,#REF!
3.922,,,1,1,,3.922,#REF!
3.923,,2,1,3,,3.923,#REF!
3.924,2,,1,3,,3.924,#REF!
3.925,1,1,3,5,,3.925,#REF!
3.926,,,4,4,,3.926,#REF!
3.927,3,1,,4,,3.927,#REF!
3.93,,,1,1,,3.93,#REF!
3.931,,,1,1,,3.931,#REF!
3.933,,,1,1,,3.933,#REF!
3.934,3,,3,6,,3.934,#REF!
3.935,1,,2,3,,3.935,#REF!
3.936,1,,3,4,,3.936,#REF!
3.937,,,3,3,,3.937,#REF!
3.939,2,1,2,5,,3.939,#REF!
3.94,,,3,3,,3.94,#REF!
3.941,1,,2,3,,3.941,#REF!
3.942,,2,,2,,3.942,#REF!
3.943,,,1,1,,3.943,#REF!
3.945,3,,1,4,,3.945,#REF!
3.946,1,,5,6,,3.946,#REF!
3.947,,,1,1,,3.947,#REF!
3.948,1,,1,2,,3.948,#REF!
3.949,1,,1,2,,3.949,#REF!
3.95,,,2,2,,3.95,#REF!
3.951,,2,2,4,,3.951,#REF!
3.952,,,1,1,,3.952,#REF!
3.953,1,,1,2,,3.953,#REF!
3.954,1,1,,2,,3.954,#REF!
3.955,1,,,1,,3.955,#REF!
